,Age,Height,Weight,Overall,Potential,Growth,TotalStats,BaseStats,ValueEUR,WageEUR,ReleaseClause,IntReputation,ShootingTotal,PassingTotal,DribblingTotal,PhysicalityTotal,Crossing,ShortPassing,Curve,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,ShotPower,LongShots,Vision,Composure,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,PreferredFoot_Left,PreferredFoot_Right,AttackingWorkRate_High,AttackingWorkRate_Low,AttackingWorkRate_Medium,DefensiveWorkRate_High,DefensiveWorkRate_Low,DefensiveWorkRate_Medium
0,34,170,72,93,93,0,2219,462,78000000,320000,144300000,5,92,91,95,65,85,91,93,91,96,91,80,91,94,86,94,95,96,6,11,15,14,8,92,92,93,93,93,92,93,93,90,93,69,67,69,64,53,64,1,0,0,0,1,0,1,0
1,32,185,81,92,92,0,2212,460,119500000,270000,197200000,5,92,79,85,82,71,85,79,70,88,77,79,77,93,90,87,81,88,15,6,12,8,10,92,85,88,88,88,85,89,87,83,87,67,69,67,64,63,64,0,1,1,0,0,0,0,1
2,36,187,83,91,91,0,2208,457,45000000,270000,83300000,5,94,80,87,75,87,80,81,77,88,85,88,86,94,94,93,76,95,7,11,15,14,11,91,88,89,89,89,88,89,89,81,89,66,62,66,63,56,63,0,1,1,0,0,0,1,0
3,22,182,73,91,95,4,2175,470,194000000,230000,373500000,4,88,80,92,77,78,85,80,71,91,97,97,92,93,86,82,82,88,13,5,7,11,6,91,90,90,90,90,90,92,92,84,92,70,66,70,66,57,66,0,1,1,0,0,0,1,0
4,28,188,87,91,93,2,1413,489,112000000,130000,238000000,5,92,78,90,90,13,43,13,40,30,43,60,67,88,59,12,65,68,87,92,78,90,90,36,32,35,35,35,32,41,38,41,38,35,39,35,35,36,35,0,1,0,0,1,0,0,1
5,30,181,70,91,91,0,2304,485,125500000,350000,232200000,4,86,93,88,78,94,94,85,93,91,76,76,79,91,91,91,94,89,15,13,5,10,13,86,88,87,87,87,88,91,91,91,91,82,83,82,78,72,78,0,1,1,0,0,1,0,0
6,29,175,68,91,91,0,2183,454,129000000,270000,238700000,5,83,86,94,63,85,86,88,81,95,93,89,96,89,80,81,90,93,9,9,15,15,11,86,90,88,88,88,90,91,91,85,91,70,66,70,65,53,65,0,1,1,0,0,0,0,1
7,30,168,70,90,90,0,2179,470,100000000,230000,185000000,4,66,75,81,83,68,82,49,79,81,82,75,82,93,71,65,78,84,15,12,10,7,10,75,77,77,77,77,77,81,82,85,82,88,90,88,88,87,88,0,1,0,0,1,1,0,0
8,27,188,89,90,90,0,2205,456,129500000,240000,246100000,4,91,83,82,83,80,85,83,86,85,65,74,71,92,91,86,87,91,8,10,11,14,11,90,84,86,86,86,84,88,87,85,87,70,71,70,67,64,67,0,1,1,0,0,1,0,0
9,29,187,85,90,92,2,1444,484,99000000,250000,210400000,4,85,88,90,88,18,61,18,63,30,38,50,39,86,66,10,70,70,88,85,88,88,90,38,35,38,38,38,35,45,42,48,42,36,44,36,34,36,34,0,1,0,0,1,0,0,1
10,35,193,93,90,90,0,1534,501,13500000,86000,22300000,5,88,91,88,89,15,60,14,68,46,54,60,51,87,68,16,70,70,88,88,91,89,88,43,40,43,43,43,40,50,47,53,47,39,46,39,38,37,38,0,1,0,0,1,0,0,1
